UniprotID,Gene_Name,TDL,Biomacromolecule,IDG_Family,IC_Family,IC_Subfamily,IC_Sub-subfamily,IC_protein,TransporterProtein_Type,Gating_Mechanism,Ion_Type,Transported_ion,Topology,Quaternary_Organization,Transmembrane_Regions,Membrane_Topological_Regions,Intramembrane_Regions,NumberOfPfamADomains
P48169,GABRA4,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRA4 sub-subfamily,Gamma-aminobutyric acid receptor subunit alpha-4,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P31644,GABRA5,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRA5 sub-subfamily,Gamma-aminobutyric acid receptor subunit alpha-5,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,3
Q16445,GABRA6,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRA6 sub-subfamily,Gamma-aminobutyric acid receptor subunit alpha-6,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P18505,GABRB1,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRB1 sub-subfamily,Gamma-aminobutyric acid receptor subunit beta-1,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P47870,GABRB2,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRB2 sub-subfamily,Gamma-aminobutyric acid receptor subunit beta-2,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P28472,GABRB3,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRB3 sub-subfamily,Gamma-aminobutyric acid receptor subunit beta-3,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,bimeric,4,4,0,2
O14764,GABRD,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRD sub-subfamily,Gamma-aminobutyric acid receptor subunit delta,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P78334,GABRE,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRE sub-subfamily,Gamma-aminobutyric acid receptor subunit epsilon,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
Q8N1C3,GABRG1,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRG1 sub-subfamily,Gamma-aminobutyric acid receptor subunit gamma-1,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P18507,GABRG2,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRG2 sub-subfamily,Gamma-aminobutyric acid receptor subunit gamma-2,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
Q99928,GABRG3,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRG3 sub-subfamily,Gamma-aminobutyric acid receptor subunit gamma-3,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
O00591,GABRP,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRP sub-subfamily,Gamma-aminobutyric acid receptor subunit pi,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
P24046,GABRR1,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRR1 sub-subfamily,Gamma-aminobutyric acid receptor subunit rho-1,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,3
P28476,GABRR2,Tchem,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRR2 sub-subfamily,Gamma-aminobutyric acid receptor subunit rho-2,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
A8MPY1,GABRR3,Tchem,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRR3 sub-subfamily,Gamma-aminobutyric acid receptor subunit rho-3,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,4,0,2
Q9UN88,GABRQ,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRQ sub-subfamily,Gamma-aminobutyric acid receptor subunit theta,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,3,1,0,2
P42261,GRIA1,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIA1 subfamily,,Glutamate receptor 1,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,5,2,3
P42262,GRIA2,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIA2 subfamily,,Glutamate receptor 2,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,5,2,3
P42263,GRIA3,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIA3 subfamily,,Glutamate receptor 3,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,5,2,3
P48058,GRIA4,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIA4 subfamily,,Glutamate receptor 4,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,5,2,3
Q9ULK0,GRID1,Tmacro,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRID1 subfamily,,"Glutamate receptor ionotropic, delta-1",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,3,4,0,3
O43424,GRID2,Tmacro,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRID2 subfamily,,"Glutamate receptor ionotropic, delta-2",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,3,4,0,3
P39086,GRIK1,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIK1 subfamily,,"Glutamate receptor ionotropic, kainate 1",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,4,0,3
Q13002,GRIK2,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIK2 subfamily,,"Glutamate receptor ionotropic, kainate 2",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,4,0,3
Q13003,GRIK3,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIK3 subfamily,,"Glutamate receptor ionotropic, kainate 3",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,3,4,0,3
Q16099,GRIK4,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIK4 subfamily,,"Glutamate receptor ionotropic, kainate 4",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,3,4,0,3
Q16478,GRIK5,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,GRIK5 subfamily,,"Glutamate receptor ionotropic, kainate 5",ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,3,4,0,3
Q05586,GRIN1,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR1/GRIN1 subfamily,,"Glutamate receptor ionotropic, NMDA 1",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,4
Q12879,GRIN2A,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR2A/GRIN2A subfamily,,"Glutamate receptor ionotropic, NMDA 2A",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,4
Q13224,GRIN2B,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR2B/GRIN2B subfamily,,"Glutamate receptor ionotropic, NMDA 2B",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,4
Q14957,GRIN2C,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR2C/GRIN2C subfamily,,"Glutamate receptor ionotropic, NMDA 2C",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,4
O15399,GRIN2D,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR2D/GRIN2D subfamily,,"Glutamate receptor ionotropic, NMDA 2D",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,3
Q8TCU5,GRIN3A,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR3A/GRIN3A subfamily,,"Glutamate receptor ionotropic, NMDA 3A",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,2
O60391,GRIN3B,Tclin+,protein,ion channel,glutamate-gated ion channel  (GIC) Family of Neurotransmitter Receptors,NR3B/GRIN3B subfamily,,"Glutamate receptor ionotropic, NMDA 3B",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,3,4,0,2
P23415,GLRA1,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",glycine receptor subfamily,GLRA1 sub-subfamily,Glycine receptor subunit alpha-1,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,3
P23416,GLRA2,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",glycine receptor subfamily,GLRA2 sub-subfamily,Glycine receptor subunit alpha-2,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
O75311,GLRA3,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",glycine receptor subfamily,GLRA3 sub-subfamily,Glycine receptor subunit alpha-3,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
Q5JXX5,GLRA4,Tdark,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",glycine receptor subfamily,GLRA4 sub-subfamily,Glycine receptor subunit alpha-4,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,2,3,0,2
P48167,GLRB,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",glycine receptor subfamily,GLRB sub-subfamily,Glycine receptor subunit beta,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,2
Q96D96,HVCN1,Tmacro,protein,ion channel,voltage-gated proton channel (vpc) family,,,voltage-gated hydrogen channel 1,ion channel,voltage-gated,cation channel,proton,multi-pass membrane protein,homomeric,4,5,0,1
O60741,HCN1,Tclin+,protein,ion channel,cyclic nucleotide-gated cation channel family,,,Potassium/Sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,ion channel,ligand-gated/voltage-gated,cation channel,potassium; sodium,multi-pass membrane protein,homomeric,6,8,1,3
Q9UL51,HCN2,Tclin+,protein,ion channel,cyclic nucleotide-gated cation channel family,,,Potassium/Sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,ion channel,ligand-gated/voltage-gated,cation channel,potassium; sodium,multi-pass membrane protein,bimeric,6,8,1,3
Q9P1Z3,HCN3,Tclin+,protein,ion channel,cyclic nucleotide-gated cation channel family,,,Potassium/Sodium hyperpolarization-activated cyclic nucleotide-gated channel 3,ion channel,ligand-gated/voltage-gated,cation channel,potassium; sodium,multi-pass membrane protein,homomeric,6,8,1,3
Q9Y3Q4,HCN4,Tclin+,protein,ion channel,cyclic nucleotide-gated cation channel family,,,Potassium/Sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,ion channel,ligand-gated/voltage-gated,cation channel,potassium; sodium,multi-pass membrane protein,homomeric,6,8,1,3
Q14643,ITPR1,Tchem,protein,ion channel,"ryanodine-inositol 1,4,5-triphosphate receptor calcium channel (rir-cac) family",,,"Inositol 1,4,5-trisphosphate receptor type 1",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,homomeric,6,4,0,6
Q14571,ITPR2,Tchem,protein,ion channel,"ryanodine-inositol 1,4,5-triphosphate receptor calcium channel (rir-cac) family",,,"Inositol 1,4,5-trisphosphate receptor type 2",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,homomeric,6,7,0,6
Q14573,ITPR3,Tchem,protein,ion channel,"ryanodine-inositol 1,4,5-triphosphate receptor calcium channel (rir-cac) family",,,"Inositol 1,4,5-trisphosphate receptor type 3",ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,homomeric,6,7,0,6
Q9NZI2,KCNIP1,Tmacro,protein,ion channel,,,,Kv channel-interacting protein 1,ion channel,voltage-gated,cation channel,potassium,peripheral membrane protein,heteromeric,0,0,0,2
Q9NS61,KCNIP2,Tmacro,protein,ion channel,,,,Kv channel-interacting protein 2,ion channel,voltage-gated,cation channel,potassium,lipid anchored,heteromeric,0,0,0,2
Q9Y2W7,KCNIP3,Tmacro,protein,ion channel,,,,Calsenilin,ion channel,voltage-gated,cation channel,potassium,lipid anchored,bimeric,0,0,0,2
Q6PIL6,KCNIP4,Tmacro,protein,ion channel,the phagocyte (gp91(phox)) nadph oxidase family,,,Kv channel-interacting protein 4,transmembrane electron carrier,voltage-gated,cation channel,potassium,peripheral membrane protein,heteromeric,0,0,0,2
Q2I0M4,LRRC26,Tgray,protein,ion channel,,,,Leucine-rich repeat-containing protein 26,ion channel,,cation channel,potassium,single-pass type I membrane protein,heteromeric,1,2,0,2
Q5VT99,LRRC38,Tdark,protein,ion channel,,,,Leucine-rich repeat-containing protein 38,ion channel,,cation channel,potassium,single-pass type I membrane protein,heteromeric,1,0,0,3
Q8N7C0,LRRC52,Tdark,protein,ion channel,,,,Leucine-rich repeat-containing protein 52,ion channel,,cation channel,potassium,single-pass membrane protein,heteromeric,1,2,0,3
Q6ZSA7,LRRC55,Tdark,protein,ion channel,,,,Leucine-rich repeat-containing protein 55,ion channel,,cation channel,potassium,single-pass membrane protein,heteromeric,1,0,0,3
Q8NE86,MCU,Tmacro,protein,ion channel,MCU family,,,"Calcium uniporter protein, mitochondrial",ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,2,0,0,1
Q9GZU1,MCOLN1,Tmacro,protein,ion channel,transient receptor potential calcium channel (TRP-CC) family,polycystin subfamily,MCOLN1 sub-subfamily,Mucolipin-1,ion channel,,cation channel,"calcium, cation",multi-pass membrane protein,heteromeric,6,0,0,1
Q8IZK6,MCOLN2,Tmacro,protein,ion channel,transient receptor potential calcium channel (TRP-CC) family,polycystin subfamily,MCOLN2 sub-subfamily,Mucolipin-2,ion channel,,cation channel,calcium,multi-pass membrane protein,unknown,5,0,0,1
Q8TDD5,MCOLN3,Tchem,protein,ion channel,transient receptor potential calcium channel (TRP-CC) family,polycystin subfamily,MCOLN3 sub-subfamily,Mucolipin-3,ion channel,,cation channel,calcium,multi-pass membrane protein,unknown,6,0,0,1
Q9Y5S8,NOX1,Tchem,protein,ion channel,phagocyte (gp91(phox)) nadph oxidase family,,,NADPH oxidase 1,transmembrane electron carrier,voltage-gated,cation channel,Proton,multi-pass membrane protein,heteromeric,6,7,0,3
Q96PH1,NOX5,Tchem,protein,ion channel,phagocyte (gp91(phox)) nadph oxidase family,,,NADPH oxidase 5,transmembrane electron carrier,,cation channel,proton,multi-pass membrane protein,unknown,7,8,0,5
Q96D31,ORAI1,Tchem,protein,ion channel,calcium release-activated calcium (crac) channel (crac-c) family,,,calcium release-activated calcium channel protein 1,ion channel,,cation channel,calcium,multi-pass membrane protein,heteromeric,4,5,0,1
Q96RD7,PANX1,Tmacro,protein,ion channel,gap junction-forming innexin (innexin) family,,,Pannexin-1,ion channel,,cation channel,calcium,multi-pass membrane protein,bimeric,4,5,0,1
Q96RD6,PANX2,Tmacro,protein,ion channel,gap junction-forming innexin (innexin) family,,,Pannexin-2,ion channel,,cation channel,,multi-pass membrane protein,heteromeric,4,5,0,1
Q96QZ0,PANX3,Tmacro,protein,ion channel,gap junction-forming innexin (innexin) family,,,Pannexin-3,ion channel,,cation channel,,multi-pass membrane protein,unknown,4,5,0,1
Q92508,PIEZO1,Tmacro,protein,ion channel,"mechanical nociceptor, piezo (piezo) family",,,Piezo-type mechanosensitive ion channel component 1,ion channel,mechanically-gated,cation channel,cation,multi-pass membrane protein,homomeric,36,0,0,1
Q9H5I5,PIEZO2,Tgray,protein,ion channel,"mechanical nociceptor, piezo (piezo) family",,,Piezo-type mechanosensitive ion channel component 2,ion channel,mechanically-gated,cation channel,cation,multi-pass membrane protein,homomeric,37,0,0,1
Q9Y342,PLLP,Tdark,protein,ion channel,,,,Plasmolipin,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,5,0,1
Q7Z442,PKD1L2,Tdark,protein,ion channel,polycystin cation channel (pcc) family,,,Polycystic kidney disease protein 1-like 2,ion channel,voltage-gated,cation channel,cation,multi-pass membrane protein,heteromeric,12,13,0,6
Q7Z443,PKD1L3,Tdark,protein,ion channel,polycystin cation channel (pcc) family,,,Polycystic kidney disease protein 1-like 3,ion channel,voltage-gated,cation channel,"calcium, cation",multi-pass membrane protein,heteromeric,12,13,0,4
Q13563,PKD2,Tchem,protein,ion channel,polycystin cation channel (pcc) family,,,Polycystin-2,ion channel,voltage-gated,cation channel,"calcium, cation",multi-pass membrane protein,heteromeric,6,7,0,1
Q9P0L9,PKD2L1,Tchem,protein,ion channel,polycystin cation channel (pcc) family,,,Polycystic kidney disease 2-like 1 protein,ion channel,voltage-gated,cation channel,"calcium, potassium, sodium",multi-pass membrane protein,homomeric,6,7,0,1
Q9NZM6,PKD2L2,Tdark,protein,ion channel,polycystin cation channel (pcc) family,,,Polycystic kidney disease 2-like 2 protein,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,unknown,6,7,0,1
Q9NTG1,PKDREJ,Tdark,protein,ion channel,polycystin cation channel (pcc) family,,,Polycystic kidney disease and receptor for egg jelly-related protein,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,bimeric,11,12,0,3
O00180,KCNK1,Tmacro,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
P57789,KCNK10,Tclin+,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 10,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,4,3,2,2
Q9HB15,KCNK12,Tgray,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 12,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,4,3,2,2
Q9HB14,KCNK13,Tgray,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 13,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
Q9H427,KCNK15,Tdark,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 15,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,4,3,2,2
Q96T55,KCNK16,Tdark,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 16,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
Q96T54,KCNK17,Tmacro,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 17,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
Q7Z418,KCNK18,Tclin+,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 18,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,4,3,2,2
O95069,KCNK2,Tclin+,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 2,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
O14649,KCNK3,Tclin+,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 3,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,4,3,2,2
Q9NYG8,KCNK4,Tmacro,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 4,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
O95279,KCNK5,Tmacro,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 5,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
Q9Y257,KCNK6,Tgray,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 6,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
Q9Y2U2,KCNK7,Tdark,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 7,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,4,3,2,2
Q9NPC2,KCNK9,Tclin+,protein,ion channel,two pore domain potassium channel family,,,Potassium channel subfamily K member 9,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,4,7,2,2
Q5JUK3,KCNT1,Tclin,protein,ion channel,potassium channel family,calcium-activated subfamily,KCa4.1/KCNT1 sub-subfamily,Potassium channel subfamily T member 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,8,1,2
Q6UVM3,KCNT2,Tgray,protein,ion channel,potassium channel family,calcium-activated subfamily,KCa4.2/KCNT2 sub-subfamily,Potassium channel subfamily T member 2,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,6,8,1,2
A8MYU2,KCNU1,Tmacro,protein,ion channel,potassium channel family,calcium-activated subfamily,KCa5.1/KCNU1 sub-subfamily,Potassium channel subfamily U member 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,homomeric,7,9,1,2
Q6PIU1,KCNV1,Tclin+,protein,ion channel,potassium channel family,V subfamily,Kv8.1/KCNV1 sub-subfamily,Potassium voltage-gated channel subfamily V member 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,6,0,2
Q8TDN2,KCNV2,Tclin+,protein,ion channel,potassium channel family,V subfamily,Kv8.2/KCNV2 sub-subfamily,Potassium voltage-gated channel subfamily V member 2,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,8,1,2
Q92952,KCNN1,Tclin,protein,ion channel,potassium channel family,calcium-activated subfamily,,Small conductance Calcium-activated Potassium channel protein 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,0,1,3
Q9H2S1,KCNN2,Tclin,protein,ion channel,potassium channel family,calcium-activated subfamily,,Small conductance Calcium-activated Potassium channel protein 2,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,0,1,3
Q9UGI6,KCNN3,Tclin,protein,ion channel,potassium channel family,calcium-activated subfamily,,Small conductance Calcium-activated Potassium channel protein 3,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,0,1,3
O15554,KCNN4,Tclin+,protein,ion channel,potassium channel family,calcium-activated subfamily,,Intermediate conductance Calcium-activated Potassium channel protein 4,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,6,0,1,3
P48048,KCNJ1,Tclin,protein,ion channel,inward rectifier-type potassium channel family,KCNJ1 subfamily,,ATP-sensitive inward rectifier Potassium channel 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
P78508,KCNJ10,Tchem,protein,ion channel,inward rectifier-type potassium channel family,KCNJ10 subfamily,,ATP-sensitive inward rectifier Potassium channel 10,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
Q14654,KCNJ11,Tclin+,protein,ion channel,inward rectifier-type potassium channel family,KCNJ11 subfamily,,ATP-sensitive inward rectifier Potassium channel 11,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
Q14500,KCNJ12,Tmacro,protein,ion channel,inward rectifier-type potassium channel family,KCNJ12 subfamily,,ATP-sensitive inward rectifier Potassium channel 12,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,bimeric,2,4,3,2
O60928,KCNJ13,Tchem,protein,ion channel,inward rectifier-type potassium channel family,KCNJ13 subfamily,,Inward rectifier Potassium channel 13,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,2,4,2,1
Q9UNX9,KCNJ14,Tgray,protein,ion channel,inward rectifier-type potassium channel family,KCNJ14 subfamily,,ATP-sensitive inward rectifier Potassium channel 14,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,2,4,2,1
Q99712,KCNJ15,Tmacro,protein,ion channel,inward rectifier-type potassium channel family,KCNJ15 subfamily,,ATP-sensitive inward rectifier Potassium channel 15,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
Q9NPI9,KCNJ16,Tgray,protein,ion channel,inward rectifier-type potassium channel family,KCNJ16 subfamily,,Inward rectifier Potassium channel 16,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
B7U540,KCNJ18,Tgray,protein,ion channel,inward rectifier-type potassium channel family,KCNJ12 subfamily,,Inward rectifier Potassium channel 18,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,unknown,2,3,0,2
P63252,KCNJ2,Tmacro,protein,ion channel,inward rectifier-type potassium channel family,KCNJ2 subfamily,,Inward rectifier Potassium channel 2,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,bimeric,2,4,2,2
P48549,KCNJ3,Tchem,protein,ion channel,inward rectifier-type potassium channel family,KCNJ3 subfamily,,G protein-activated inward rectifier Potassium channel 1,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
P48050,KCNJ4,Tclin,protein,ion channel,inward rectifier-type potassium channel family,KCNJ4 subfamily,,Inward rectifier Potassium channel 4,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,bimeric,2,4,2,1
P48544,KCNJ5,Tclin+,protein,ion channel,inward rectifier-type potassium channel family,KCNJ5 subfamily,,G protein-activated inward rectifier Potassium channel 4,ion channel,voltage-gated,cation channel,potassium,multi-pass membrane protein,heteromeric,2,4,2,1
